,uri,first_artist_name,track_name,track_duration_ms,track_popularity,is_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics
New Music Friday_10,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,209259,87,False,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3,"TranslationsFrançaisEspañolPortuguês​golden hour Lyrics[Verse 1]
It was just two lovers
Sittin' in the car, listening to Blonde, fallin' for each other
Pink and orange skies, feelin' super childish, no Donald Glover
Missed call from my mother
Like, ""Where you at tonight?""
Got no alibi

[Pre-Chorus]
I was all alone with the love of my life
She's got glitter for skin
My radiant beam in the night
I don't need no light to see you

[Chorus]
Shine
It's your golden hour (Oh-oh-oh)
You slow down time
In your golden hour (Oh-oh-oh)

[Verse 2]
We were just two lovers
Feet up on the dash, drivin' nowhere fast, burnin' through the summer
Radio on blast, make the moment last, she got solar power
Minutes feel like hours
She knew she was the baddest
Can you even imagine fallin' like I did?
You might also like[Pre-Chorus]
For the love of my life
She's got glow on her face
A glorious look in her eyes
My angel of light
I was all alone with the love of my life
She's got glitter for skin
My radiant beam in the night
I don't need no light to see you

[Chorus]
Shine
It's your golden hour (Oh-oh-oh)
You slow down time
In your golden hour (Oh-oh-oh)

[Instrumental Outro]14Embed"
New Music Friday_11,spotify:track:4sx6NRwL6Ol3V6m9exwGlQ,The Kid LAROI,Love Again,146640,86,False,0.662,0.398,11,-6.691,0,0.0275,0.716,0,0.111,0.468,107.001,4,"TranslationsEspañolLove Again Lyrics[Verse 1]
Can we go back to how it was?
Before my pride got in between us
Go ahead and hit me where it hurts
Because at least, then I'll feel something

[Pre-Chorus]
Screaming in my face
Kicked me out your place
I got nowhere to go

[Chorus]
Can we find love again?
Is this time the end?
Tell me, how many more tears will drop
Till you hit me with ""Can we talk?""
And try love again
Can we find love again?
Is this time the end?
Tell me, how many more tears will drop
Till you hit mе with ""Can we talk?""
And try love again

[Verse 2]
I crashed my car into a wall
I triеd to text, I shoulda called
Seen blue and red, it won’t be long (Ooh, uh)
We went to war, it didn't end
I bit my tongue, you hit my chin
Worst enemy is my best friend (Ooh)
See The Kid LAROI LiveGet tickets as low as $34You might also like[Pre-Chorus]
Screaming in my face
Kicked me out your place
I got nowhere to go

[Chorus]
Can we find love again?
Is this time the end?
Tell me, how many more tears will drop
Till you hit me with ""Can we talk?""
And try love again
Can we find love again?
Is this time the end?
Tell me, how many more tears will drop
Till you hit me with ""Can we talk?""
And try love again16Embed"
New Music Friday_12,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,200690,91,False,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4,"TranslationsPortuguêsEspañolTürkçeFrançais中文NederlandsDeutschไทย / Phasa ThaiItalianoSvenskaУкраїнськаAnti-Hero Lyrics[Verse 1]
I have this thing where I get older, but just never wiser
Midnights become my afternoons
When my depression works the graveyard shift, all of the people
I've ghosted stand there in the room

[Pre-Chorus]
I should not be left to my own devices
They come with prices and vices
I end up in crisis
(Tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
'Cause you got tired of my scheming
(For the last time)

[Chorus]
It's me, hi
I'm the problem, it's me
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero

[Verse 2]
Sometimes, I feel like everybody is a sexy baby
And I'm a monster on the hill
Too big to hang out, slowly lurching toward your favorite city
Pierced through the heart, but never killed
See Taylor Swift LiveGet tickets as low as $220You might also like[Pre-Chorus]
Did you hear my covert narcissism I disguise as altruism
Like some kind of congressman?
(A tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
And life will lose all its meaning
(For the last time)

[Chorus]
It's me, hi
I'm the problem, it's me (I'm the problem, it's me)
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero

[Bridge]
I have this dream my daughter-in-law kills me for the money
She thinks I left them in the will
The family gathers 'round and reads it and then someone screams out
""She's laughing up at us from Hell""

[Breakdown]
It's me, hi
I'm the problem, it's me
It's me, hi
I'm the problem, it's me
It's me, hi
Everybody agrees, everybody agrees
[Chorus]
It's me, hi (Hi)
I'm the problem, it's me (I'm the problem, it's me)
At teatime (Teatime), everybody agrees (Everybody agrees)
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero63Embed"
New Music Friday_13,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta,I'm Good (Blue),175238,92,True,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4,"TranslationsPortuguêsEspañolTürkçeI’m Good (Blue) Lyrics[Chorus]
I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright

[Drop]
Don't you know I'm good, yeah, I'm feelin' alright

[Verse]
You know I'm down for whatever tonight
I don't need the finer things in life
No matter where I go, it's a good time, yeah
And I, I don't need to sit in VIP
Middle of the floor, that's where I'll be
Don't got a lot, but that's enough for me, yeah

[Chorus]
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
You might also like[Drop]
I'm good
Good
I'm good
Don't you know I'm good, yeah, I'm feelin' alright

[Bridge]
So I just let it go, let it go
Oh, na-na-na-na-na
No, I don't care no more, care no more
Oh, na-na-na-na-na
So come on, let me know, let me know
Put your hands up, na-na-na
No, baby, nothing's gonna stop us tonight

[Chorus]
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright18Embed"
New Music Friday_14,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Players,139560,86,True,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,4,"TranslationsTürkçePlayers Lyrics[Chorus]
Yeah, 'cause girls is players too
Uh, yeah, yeah, 'cause girls is players too (Keep it player, baby)
'Cause girls is players too
Bitches gettin' money all around the world 'cause girls is players too

[Verse 1]
What you know about livin' on the top?
Penthouse suites, lookin' down on the opps
Took him for a test drive, left him on the lot
Time is money, so I spent it on a watch
Hold on, lil' titties showin' through the white tee
You can see the thong bustin' out my tight jeans (Okay)
Rocks on my fingers like a nigga wifed me
Got another shorty? She ain't nothin' like me

[Refrain]
Yeah, 'bout to catch another flight
Yeah, the apple bottom make him wanna bite
Yeah, I just wanna have a good night
I just wanna have a good night
Hold up, if you don't know, now you know
If he broke, then you gotta let him go
You could have anybody, eeny, miny, moe
'Cause when you a boss, you could do what you want
You might also like[Chorus]
Yeah, 'cause girls is players too
Uh, yeah, yeah, 'cause girls is players too (Keep it player, baby)
'Cause girls is players too
Bitches gettin' money all around the world 'cause girls is players too

[Verse 2]
I go on and on and on again
He blowin' up my phone, but I'm ignorin' him
He thinkin' he the one, I got like four of him
Yeah, I'm sittin' first class like valedictorian
Uh, came a long way from rag to riches
Five-star bitch, yeah, I taste so delicious
Let him lick the plate, yeah, I make him do the dishes
Now he on News 12 'cause a bitch went missin', sheesh

[Refrain]
Yeah, 'bout to catch another flight
Yeah, the apple bottom make him wanna bite
Yeah, I just wanna have a good night
I just wanna have a good night
Hold up, if you don't know, now you know
If he broke, then you gotta let him go
You could have anybody, eeny, miny, moe
'Cause when you a boss, you could do what you want
[Chorus]
Yeah, 'cause girls is players too
Uh (And it's time that we let 'em know that—), girls is players too (Keep it player, baby)
'Cause girls is players too
Bitches gettin' money all around the world 'cause girls is players too2Embed"
New Music Friday_15,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,123890,88,True,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4,"Just Wanna Rock Lyrics[Intro]
Ah, ah, ah, ah
Ah, ah, ah
I just wanna rock
Body-ody, yeah (Shake it down)

[Chorus]
Damn
Damn
(MC, make another hit) Woah
This ain't what you want (Project-Project X)
This ain’t what you want
This ain't what you want

[Verse]
Ha, 1600 block, I just wanna rock (Shake it down)
I just wanna, ah, ah, ah, ah, ah, ah, ah
I just wanna rock, body-ody, yeah (Shake it down)
Shawty got that body-ody, ah, ah, ah (Shake it down)
Hit it once, no ties (Shake it-shake it)
How the fuck you gon' kill my vibe? (Shake it down)
Stand on my money, don’t know my size (Shake it-shake it)
Pick them sides, and you better choose wisely (Shake it-shake it down-down)
That's my high, one, two, three, four, throw up the five  (Shake it-shake it)
That's my high
You might also like[Chorus]
Damn
Damn (One, two, three, four, throw up the five)
(MC, make another hit) Woah
This ain't what you want (Project-Project X)
This ain't what you want
This ain't what you want

[Outro]
Buh, buh, buh, buh (Down, down)
Buh, buh, buh, buh (Down, down)
Buh, buh, buh, buh (Down, down)
Buh, buh, buh, buh (Down, shake it down)
Buh, buh, buh, buh (Down, down)
Buh, buh, buh, buh (Down, down)
Buh, buh, buh, buh (Down, down)
Buh, buh, buh, damn (Down, shake it down)
(Shake it down-down)
(Shake it-shake it down-down)
(Shake it down-down)
(Shake it-shake it down-down)
(Shake it down-down)
(Shake it-shake it down-down)
(Shake it down-down)
(Shake it-shake it-shake it)16Embed"
New Music Friday_16,spotify:track:3zkyus0njMCL6phZmNNEeN,Central Cee,LET GO,174246,88,True,0.735,0.449,2,-9.933,0,0.383,0.859,0,0.213,0.514,146.016,4,"TranslationsEspañolTürkçeРусскийFrançaisNederlandsEnglishLET GO Lyrics[Pre-Chorus: Central Cee & Passenger]
Well, you only need the light when it's burning low
Only miss the sun when it starts to snow (Nastylgia)
Only know you love her when you let her go
Alright

[Chorus: Central Cee]
Only know you've been high when you're feeling low
Only hate the roads when you're missing home
Only know you love her when you let her go
You said that pussy mine, so why'd you let it go?
Haha, you're such a ho

[Verse 1: Central Cee]
I loved you until you try to get in my head
And that's why I lost respect
You're doin' the most to get my attention, baby, I'm not impressed, uh
I changed my bedsheets, but I still smell your flesh
I don't know how we got in this mess
I rarely get this in-depth
This girl make me question love
This girl make me feel like less of a man 'cause I'm feelin' depressed and stuff
Can't believe I was willing to drop everyone and invest in us
The last time that we fucked was fucked, the way you got up, got dressed and cut
Look, I thought that we could've been
Maybe, I was too optimistic
Tell me what you need, I'll provide everythin'
Baby, you don't know what you're missin'
Our chemistry felt like quantum physics, physics
Feelin' your energy, feelin' your spirit
If this is the end, I need one more visit
They're showin' me love, but I still feel empty
I need somethin' a lot more fulfillin', uh
Move out of London town then move to a rural village
You made me delete that pic off my phone
But I close my eyes, still see that image
Won't chase if my heart ain't in it, it's finished
Too far gone, can't fix it, bitch, this damage is done
You might also like[Pre-Chorus: Central Cee & Passenger]
Well, you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go
Alright

[Chorus: Central Cee]
Only know you've been high when you're feeling low
Only hate the roads when you're missing home
Only know you love her when you let her go
You said that pussy mine, so why'd you let it go?
Haha, you're such a ho

[Verse 2: Central Cee]
I called four times on a private caller, I feel like a creep, uh
I know there's plenty of fish in the sea, but I fucked those girls, got you in my mind
When you fucked those guys, did you wish they were me?
Turn 'em around and I put them in doggy, I don't even fuck them in missionary
There's no intimacy and additionally, it's obligatory when I fucked that opp thot
I don't even take my socks off
And I don't even know why I did it, as soon as I'm finished, I'm gettin' them dropped off
And what makes it worse, I know that she's tellin' her friends that I chopped her
I don't know what you're doin' when we're not together, it's drivin' me mad 'cause I can't even stop ya
Typed in your bank details and sent you a bag, I'm rich like, bitch, unblock me
Make it quick, can you do that promptly?
If you won't give me your love for free, I'll buy it, just tell me how much it'll cost me
Your new man ain't got nothin' on me
Fuck your annual wage, I can make that monthly, huh, alright
[Pre-Chorus: Central Cee & Passenger]
Well, you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go
Alright

[Chorus: Central Cee]
Only know you've been high when you're feeling low
Only hate the roads when you're missing home
Only know you love her when you let her go
You said that pussy mine, so why'd you let it go?
Haha, you're such a ho16Embed"
New Music Friday_17,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,201800,87,True,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4,"TranslationsEspañolPortuguêsSnooze Lyrics[Intro]
Ooh
I think I know

[Verse 1]
I'll touch that fire for you
I do that three, four times again, I testify for you
I told that lie, I'd kill that bitch
I do what all of them around you scared to do, I'm not
Long as you juggin' out here for me, I got it
Mobbin', schemin', lootin', hide your bodies
Long as you dreamin' 'bout me, ain't no problem
I don't got nobody, just with you right now
Tell the truth, I look better under you

[Chorus]
I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do
I can't lose when I'm with you
I can't just snooze and miss the moment
You just too important
Nobody do body like you do, you do

[Verse 2]
In a droptop ride with you, I feel like Scarface (Scarface)
Like that white bitch with the bob, I'll be your main one (Your main one)
Lеt's take this argument back up to my place (My placе)
Sex remind you I'm nonviolent, I'm your day one (Day one)
We ain't have shit yet, it was magic, yeah
Smash and grab shit, yeah
Nasty habits take a hold when you not here
Ain't a home when you not here
Hard to grow when you not here, I'm sayin'
See SZA LiveGet tickets as low as $109You might also like[Chorus]
I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do
I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do, you do

[Bridge]
Main one ridin'
How you frontin' on me and I'm the main one tryin'?
How you blame it on me and you the main one lyin'?
How you threatenin' to leave and I'm the main one cryin'?
Just tryna be your everything
Main one ridin'
How you frontin' on me and I'm the main one tryin'?
How you blame it on me and you the main one lyin'?
How you threatenin' to leave and I'm the main one cryin'?

[Chorus]
I can't lose when I'm with you (Like you, like you)
How can I snooze and miss the moment? (Like you)
You just too important
Nobody do body like you do
I can't lose when I'm with you (Like you)
How can I snooze and miss the moment? (Like you)
You just too important
Nobody do body like you do, you do
[Outro]
Nah, nah, nah, nah
I think I know, woah
See, no, I can't lose, oh
I think I know, oh11Embed"
New Music Friday_18,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,242484,91,False,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,4,"TranslationsTürkçeHere With Me Lyrics[Verse 1]
Watch the sunrise along the coast
As we're both getting old
I can't describe what I'm feeling
And all I know is we're going home
So, please don't let me go
Don't let me go

[Chorus]
And if it's right, I don't care how long it takes
As long as I'm with you, I've got a smile on my face
Save your tears, it'll be okay
All I know is you're here with me

[Post-Chorus]
Ooh-ooh, oh, oh-oh
Oh-oh-oh-oh-oh

[Verse 2]
Watch the sunrise as we're getting old, oh-oh
I can't describe, oh-oh
I wish I could live through every memory again
Just one more time before we float off in the wind
And all the time we spent waiting for the light to take us in
Have been the greatest moments of my life
You might also like[Chorus]
I don't care how long it takes
As long as I'm with you, I've got a smile on my face
Save your tears, it'll be okay
You're here with me

[Post-Chorus]
Ooh-ooh, oh, oh-oh
Oh-oh-oh-oh-oh

[Outro]
I can't describe, oh-oh2Embed"
New Music Friday_19,spotify:track:6BePGk3eCan4FqaW2X8Qy3,Tiësto,10:35,172252,87,False,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,4,"10:35 Lyrics[Intro]
All I know it's 10:35
And I can feel your arms around me
Let ’em drown me
All I know it's 10:35
And I'm thankin’, thankin' God you found me
That you found me

[Verse 1]
Every day, I go places in my head
Darker thoughts are harder now
They look like monsters under my bed
And every time, it's like a rocket through my chest
The TV make you think the whole world's about to end

[Pre-Chorus]
I don't know where this night is goin' (Goin')
But I know that you and me got somethin' (Somethin’)
So many things that I’m afraid of (I'm afraid of)
But right now, I ain’t scared of nothin'
('Cause all I know it's, ’cause all I know it's, all I, all I)

[Chorus]
'Cause all I know it's 10:35
And I can feel your arms around me
Let 'em drown me
All I know it's 10:35
And I'm thankin', thankin' God you found me
That you found me
So don't you worry about tomorrow
Don't you worry, just pass the bottle
All I know it's 10:35
And I can feel your arms around me
Let 'em drown me
You might also like[Verse 2]
Every night, I go places in my dreams
So many never-endin' alleyways
I don't know what it means
But this is it, I know the sun'll wake me up
Tell me I'd be dumb to not get what I want

[Pre-Chorus]
I don't know where this night is goin'
But I know that you and me got somethin'
So many things that I'm afraid of
But right now, I ain't scared of nothin'
('Cause all I know it's, all I, all I)

[Chorus]
'Cause all I know it's 10:35
And I can feel your arms around me
Let 'em drown me
All I know it's 10:35
And I'm thankin', thankin' God you found me
That you found me
So don't you worry about tomorrow
Don't you worry (Yeah), just pass the bottle (Oh)
All I know it's 10:35
And I can feel your arms around me
Let 'em drown me (Oh-oh, oh)
[Outro]
It's 10:35, oh-ooh
10:35, oh-oh-oh
Know it's 10:35, oh-oh-oh
Know it's 10:35, oh-oh-oh5Embed"
New Music Friday_20,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,134256,89,False,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,4,"Made You Look Lyrics[Chorus]
I could have my Gucci on
I could wear my Louis Vuitton
But even with nothin' on
Bet I made you look (I made you look)

[Verse 1]
I'll make you double take soon as I walk away
Call up your chiropractor just in case your neck break
Ooh, tell me what you, what you, what you gon' do, ooh
'Cause I'm 'bout to make a scene, double up that sunscreen
I'm 'bout to turn the heat up, gonna make your glasses steam
Ooh, tell me what you, what you, what you gon' do, ooh

[Pre-Chorus]
When I do my walk, walk
I can guarantee your jaw will drop, drop
'Cause they don't make a lot of what I got, got
Ladies, if you feel me, this your bop, bop (Bop, bop, bop)

[Chorus]
I could have my Gucci on (Gucci on)
I could wear my Louis Vuitton
But even with nothin' on
Bet I made you look (I made you look)
Yeah, I look good in my Versacе dress (Take it off)
But I'm hotter whеn my morning hair's a mess
'Cause even with my hoodie on
Bet I made you look (I made you look)
Mhm-hm-hm
You might also like[Verse 2]
And once you get a taste (Woo), you'll never be the same
This ain't that ordinary, this that 14 karat cake
Ooh, tell me what you, what you what you gon' do, ooh

[Pre-Chorus]
When I do my walk, walk
I can guarantee your jaw will drop, drop (I guarantee your jaw will drop, drop)
'Cause they don't make a lot of what I got, got
Ladies, if you feel me, this your bop, bop (Bop, bop, bop)

[Chorus]
Ooh, I could have my Gucci on (Gucci on)
I could wear my Louis Vuitton (Louis Vuitton)
But even with nothin' on
Bet I made you look (Said, I made you look)
Yeah, I look good in my Versace dress (Take it off, baby)
But I'm hotter when my morning hair's a mess
'Cause even with my hoodie on
Bet I made you look (Said, I made you look)8Embed"
New Music Friday_21,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,212253,90,False,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,4,"TranslationsRomanizationEnglishEspañolPortuguês日本語Українськаไทย / Phasa ThaiOMG Lyrics[뉴진스 ""OMG"" 가사]

[Intro: Hanni]
이 노래는 it's about you, baby
Only you
You, you, you
You, you, you, you

[Verse 1: Haerin, Minji, Danielle]
내가 힘들 때 울 것 같을 때 (Mm-hm)
기운도 이젠 나지 않을 때 (Mm-hm)
It's you, 날 걱정하네, it's you, 날 웃게하네
말 안 해도 돼, boy, what do you say?

[Pre-Chorus: Hyein, Danielle, Minji, Haerin]
(They keep on asking me, ""Who is he?"")
멀리든 언제든지 달려와
(They keep on asking me, ""Who is he?"")
바쁜 척도 없이 넌 나타나
(They keep on asking me, ""Who is he?"")
이게 말이 되니 난 물어봐
(They keep on asking me, ""Who is he?"")
너는 말야, he's the one that's living in my system, baby

[Chorus: Hanni, Danielle]
Oh my, oh my God, 예상했어 나
I was really hoping that he will come through
Oh my, oh my God, 단 너뿐이야
Asking all the time about what I should do
You might also like[Post-Chorus: Haerin, Hyein, Hanni]
No, I can never let him go (Ooh)
너만 생각나, twenty-four (Ooh)
난 행운아야 정말로 (Ooh)
I know, I know (Ooh)
널 알기 전까지는 나 (Ooh)
의미 없었어 전부 다 (Ooh)
내 맘이 끝이 없는 걸 (Ooh)
I know, I know, I'm going crazy, right?

[Verse 2: Minji, Danielle, Hanni]
어디서든, 몇 번이든
There ain't nothing else that I would hold on to
I hear his voice  through all the noise
잠시라도 내 손 놓지 마, no, no
걱정 없잖아
'Cause I got someone
혼자라도 괜찮아
'Cause I love someone

[Pre-Chorus: Hyein, Hanni, Danielle, Minji]
(They keep on asking me, ""Who is he?"")
멀리든 언제든지 달려와
(They keep on asking me, ""Who is he?"")
바쁜 척도 없이 넌 나타나
(They keep on asking me, ""Who is he?"")
이게 말이 되니 난 물어봐
(They keep on asking me, ""Who is he?"")
너는 말야, he's the one that's living in my system, baby
[Chorus: Hanni, Danielle]
Oh my, oh my God, 예상했어 나
I was really hoping that he will come through
Oh my, oh my God, 단 너뿐이야
Asking all the time about what I should do

[Post-Chorus: Haerin, Hyein]
No, I can never let him go (Ooh)
너만 생각나, twenty-four (Ooh)
난 행운아야 정말로 (Ooh)
I know, I know (Ooh)
널 알기 전까지는 나 (Ooh)
의미 없었어 전부 다 (Ooh)
내 맘이 끝이 없는 걸 (Ooh)
I know, I know (He's the one that's living in my system, baby, baby)

[Interlude: Haerin, Hanni, All]
Baby
Babe, baby
I'm going crazy, right? (Baby)
Baby
I'm going crazy, right?
Babe, baby
너와 나

[Bridge: Hanni, Hyein, Danielle]
My heart is glowing, it's glowing up (Glow, glow)
너랑만 있으면 무서울 게 없어 (No, no)
가득 메워진, 다 메워진 (붉어진)
My heart is glowing, it'd be glowing
'Cause he
[Chorus: Hanni, Danielle]
Oh my, oh my God, 예상했어 나
I was really hoping that he will come through
Oh my, oh my God, 단 너뿐이야
Asking all the time about what I should do (너와 나)

[Post-Chorus: Minji, Hyein, Haerin]
No, I can never let him go (Ooh)
He's right there for me, twenty-four (Ooh)
난 행운아야 정말로 (Ooh)
I know, I know (너와 나)
널 알기 전까지는 나 (Ooh)
의미 없었어 전부 다 (Ooh)
어떡해
My heart is glowing, it's glowing
My heart is glowing up so I can't sleep at night2Embed"
New Music Friday_22,spotify:track:0O6u0VJ46W86TxN9wgyqDj,Post Malone,I Like You (A Happier Song) (with Doja Cat),192840,84,True,0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,4,"I Like You (A Happier Song) (with Doja Cat) LyricsOh girl I like you, I do
I wanna be your friend, go shoppin' in the Benz
I like you, I do
I'll hit you when I land, can you fit me in your plans?
I like you, I do
We went over to France, then we woke up in Japan
I like you, I do (I do)
Oh girl, I know you only like it fancy
So I pull up in that Maybach Candy
Yeah, your boyfriend'll never understand me
'Cause I'm 'bout to pull his girl like a hammy, hammy
Let's take a lil' dip, lil' lady
Hit PCH, 180
Yeah, I've been thinkin' lately
That I need someone to save me
Now that I'm famous, I got hoes all around me, but
I need a good girl, I need someone to ground me, so
Please be true, don't fuck around with me
I need someone to share this heart with me
Fill you up, then run it back again
Oh girl I like you, I do
I wanna be your friend, go shoppin' in the Benz
I like you, I do
I'll hit you when I land, can you fit me in your plans?
I like you, I do
We went to bed in France, then we woke up in Japan
I like you, I do, I do
Let me know when you're free
'Cause I been tryna hit it all week, babe
Why you acting all sweet?
I know that you want little ol' me
I get a little OD
But ain't shit new to a freak
Let me drop bands, put a jewel in ya teeth
He love the way I drip, turn that pool to the beach
And I coulda copped a Birkin but I cop Celine
Why we got the same taste for the finer things?
Brand-new nigga with the same old team
Now he got me on a leash 'cause he said no strings
You know I'm cool with that
Stole the pussy, you ain't get sued for that
Wonder what a nigga might do for that (do, might do)
I could be your Chaka, where Rufus at? (Where?)
80 in the Benz when that roof go back
They don't wanna see us get too attached
I just got a feeling that we might be friends for a long, long time
You don't mind, and you know I like you for that
Oh girl, I like you, I do
I wanna be your friend, go shoppin' in the Benz
I like you, I do
I'll hit you when I land, can you fit me in your plans?
I like you, I do
We went to bed in France, then we woke up in Japan
I like you, I do, I do
I just want you, I just want you
Your heart's so big, but that ass is huge
Just want you, oh baby do
You like me too, ooh, ooh
Girl, I like you, I do
I wanna be your friend, go shoppin' in the Benz
I like you, I do, I doYou might also likeEmbed"
New Music Friday_23,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,148485,90,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,"I Ain’t Worried Lyrics[Verse 1]
I don't know what you've been told
But time is running out, no need to take it slow
I'm stepping to you toe-to-toe
I should be scared, honey, maybe so

[Chorus]
But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it
I ain't worried 'bout it (Hey)

[Verse 2]
I don't know what you've been told
But time is running out so spend it like it's gold
I'm living like I'm nine-zeros
Got no regrets even when I am broke (Yeah)
I'm at my best when I got something I'm wanting to steal
Way too busy for them problems and problems to feel (Yeah, yeah)
No stressing, just obsessing with sealing the deal
I'll take it in and let it go
See OneRepublic LiveGet tickets as low as $69You might also like[Chorus]
But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it
I ain't worried 'bout it (Hey)

[Bridge]
Ooh, I ain't worried
Ooh, oh, no, no

[Chorus]
I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it (Ooh, hey)
I ain't worried 'bout it (Ooh, hey)

[Outro]
I ain't worried 'bout it4Embed"
